>NZ_HG994851.1 Escherichia coli isolate 127 chromosome main, complete sequence
>NZ_CP137696.1 Escherichia coli isolate FELIX_MS533 chromosome, complete genome
>NZ_CP034384.1 Escherichia coli O157:H7 strain FRIK804 chromosome, complete genome
>NZ_CP122643.1 Escherichia coli strain ETEC4079 chromosome, complete genome
>NZ_CP114130.1 Escherichia coli strain NJS001 chromosome, complete genome
>NZ_CP025317.1 Escherichia albertii strain 1551-2 chromosome, complete genome
>NZ_CP032789.1 Escherichia coli strain NZRM4169 chromosome, complete genome
>NZ_AP027181.1 Escherichia coli strain 98E11 chromosome, complete genome
>NZ_CP028126.1 Escherichia coli O26 str. RM10386 chromosome, complete genome
>NZ_CP132983.1 Escherichia coli strain ARS-C301 chromosome, complete genome
>NZ_CP069973.1 Escherichia coli strain FDAARGOS_1280 chromosome, complete genome
>NZ_CP026358.1 Escherichia coli strain 2A chromosome, complete genome
>NZ_CP043191.1 Escherichia coli O16:H48 strain PG20180173 chromosome, complete genome
>NZ_CP141196.1 Escherichia coli strain 673 chromosome, complete genome
>NZ_CP028695.1 Escherichia coli strain 107 chromosome, complete genome
>NZ_CP012633.1 Escherichia coli strain SF-166 chromosome, complete genome
>NZ_CP073974.1 Escherichia coli strain MB22 chromosome, complete genome
>NZ_CP095526.1 Escherichia coli strain GN05505 chromosome, complete genome
>NZ_CP044315.1 Escherichia coli strain SJ7 chromosome, complete genome
>NZ_CP117006.1 Escherichia coli strain MLI108K3 chromosome, complete genome
>NZ_CP042588.1 Escherichia coli strain PK6 chromosome, complete genome
>NZ_CP062715.1 Escherichia coli O157:H7 strain Z1826 chromosome, complete genome
>NZ_CP058714.1 Escherichia coli strain M172-1 chromosome, complete genome
>NZ_CP011018.1 Escherichia coli strain CI5 chromosome, complete genome
>NZ_CP081192.1 Escherichia coli strain EC1722-1 chromosome unnamed1, complete sequence
>NZ_CP034958.1 Escherichia coli strain SCEC020026 chromosome, complete genome
>NZ_CP030281.1 Escherichia coli strain E308 chromosome, complete genome
>NZ_CP024862.1 Escherichia coli strain AR_0015 chromosome, complete genome
>NZ_AP027926.1 Escherichia fergusonii strain 30038 chromosome, complete genome
>NZ_CP122604.1 Escherichia coli strain ETEC6334 chromosome, complete genome
>NZ_CP022050.2 Escherichia coli O157 strain FDAARGOS_293 chromosome, complete genome
>NZ_LR890606.1 Escherichia coli strain MINF_8D isolate MINF_8D chromosome 1, complete sequence
>NZ_CP011322.1 Escherichia coli strain SQ110 chromosome, complete genome
>NZ_CP037903.1 Escherichia coli strain LHM10-1 chromosome, complete genome
>NZ_CP067250.1 Escherichia coli strain ESBL_DR28 chromosome, complete genome
>NZ_CP087110.1 Escherichia coli strain PJ-T13 chromosome, complete genome
>NZ_AP026112.1 Escherichia coli strain CEC03102 chromosome, complete genome
>NZ_CP047658.1 Escherichia coli strain LD39-1 chromosome, complete genome
>NZ_LR778152.1 Escherichia coli isolate SC477 chromosome 1
>NZ_CP117650.1 Escherichia albertii strain BIA_16-1 chromosome, complete genome
>NZ_CP080075.1 Escherichia coli strain 19SZHZ663Rt chromosome, complete genome
>NZ_CP076272.1 Escherichia coli strain E21845/O/A chromosome, complete genome
>NZ_CP138393.1 Escherichia coli strain 101EVA chromosome, complete genome
>NZ_CP043211.1 Escherichia coli O16:H48 strain PG20180050 chromosome, complete genome
>NZ_CP028654.1 Escherichia coli strain 122 chromosome, complete genome
>NZ_CP049077.2 Escherichia coli strain p11A chromosome, complete genome
>NZ_CP042896.1 Escherichia coli strain CFSAN061771 chromosome, complete genome
>NZ_CP027573.1 Escherichia coli strain 2013C-4081 chromosome, complete genome
>NZ_OW967003.1 Escherichia coli isolate 624 chromosome main, complete sequence
>NZ_LR134340.1 Escherichia marmotae strain NCTC11133 chromosome 1, complete sequence
>NZ_CP038419.1 Escherichia coli O157:H7 strain 2-6-2 chromosome, complete genome
>NZ_CP066753.1 Escherichia coli O157:H7 strain ECP19-598 chromosome, complete genome
>NZ_CP029492.1 Escherichia coli strain HS30-1 chromosome, complete genome
>NZ_CP120563.1 Escherichia coli strain H22 chromosome, complete genome
>NZ_CP028117.1 Escherichia coli O111 str. RM9322 chromosome, complete genome
>NZ_CP015244.1 Escherichia coli O91 str. RM7190 chromosome, complete genome
>NZ_CP025892.1 Escherichia coli strain 503025 chromosome, complete genome
>NZ_CP076301.1 Escherichia coli strain Survcare321 chromosome, complete genome
>NZ_CP058596.1 Escherichia coli strain UPEC_U013 chromosome, complete genome
>NZ_CP110260.1 Escherichia albertii strain KBSW16i chromosome, complete genome
>NZ_LR778141.1 Escherichia coli isolate SC407 chromosome 1
>NZ_CP020514.1 Escherichia coli strain 219 chromosome, complete genome
>NZ_CP011495.1 Escherichia coli strain NCM3722 isolate K-12 chromosome, complete genome
>NZ_CP028703.1 Escherichia coli strain ME8067 chromosome, complete genome
>NZ_CP116106.1 Escherichia coli strain DETEC-P829 chromosome, complete genome
>NZ_CP010121.1 Escherichia coli strain C4 chromosome, complete genome
>NZ_LR890714.1 Escherichia coli strain MSB1_6C isolate MSB1_6C chromosome 1, complete sequence
>NC_012892.2 Escherichia coli BL21(DE3), complete sequence
>NZ_CP118601.1 Escherichia coli strain NB4833 chromosome, complete genome
>NZ_CP038416.1 Escherichia coli O157:H7 strain 3-5-1 chromosome, complete genome
>NZ_OX637961.1 Escherichia coli O25b:H4-ST131 isolate 86 chromosome C, complete sequence
>NZ_CP115821.1 Escherichia coli strain E1 chromosome, complete genome
>NZ_CP083273.1 Escherichia coli strain BL21-RIPL chromosome, complete genome
>NZ_CP107142.1 Escherichia coli strain S3 chromosome, complete genome
>NZ_CP022689.1 Escherichia coli strain CDC#03-98 chromosome, complete genome
>NZ_AP027445.1 Escherichia coli strain EC291 isolate EC291 chromosome, complete genome
>NZ_LR134295.1 Escherichia coli strain NCTC9080 chromosome 1, complete sequence
>NZ_CP038374.1 Escherichia coli O157:H7 strain F3113 chromosome, complete genome
>NZ_CP059130.1 Escherichia coli strain Ec55 chromosome, complete genome
>NZ_CP026357.1 Escherichia coli strain 2F_0 chromosome, complete genome
>NZ_CP049979.1 Escherichia coli strain IBS28 chromosome, complete genome
>NZ_CP010200.1 Escherichia coli strain M10 chromosome, complete genome
>NZ_CP027701.1 Escherichia coli strain 675SK2 chromosome, complete genome
>NZ_CP123017.1 Escherichia coli strain 19-7 chromosome, complete genome
>NZ_CP038324.1 Escherichia coli O157:H7 strain NE 1169-1 chromosome, complete genome
>NZ_AP024114.1 Escherichia coli strain JML285 chromosome, complete genome
>NZ_CP103540.1 Escherichia coli strain 5264 chromosome, complete genome
>NZ_CP021840.1 Escherichia coli strain EC974 chromosome, complete genome
>NZ_CP054665.1 Escherichia coli strain IGC_EcoliInv_1.1 chromosome, complete genome
>NZ_CP128255.1 Escherichia coli strain T309.Ta3 chromosome, complete genome
>NZ_CP068828.1 Escherichia coli strain RIVM_C030443 chromosome, complete genome
>NZ_CP107005.1 Escherichia coli strain SY22A1 chromosome, complete genome
>NZ_CP025707.1 Escherichia coli strain YDC107 chromosome, complete genome
>NZ_CP142438.1 Escherichia coli strain Case 2 chromosome, complete genome
>NZ_CP016628.1 Escherichia coli strain FORC_041 chromosome, complete genome
>NZ_CP067994.1 Escherichia coli strain CV601 chromosome, complete genome
>NZ_CP064681.1 Escherichia coli K-12 strain BZKR3G40 chromosome, complete genome
>NZ_CP027445.1 Escherichia coli strain 2013C-3492 chromosome, complete genome
>NZ_CP070170.1 Escherichia coli strain FDAARGOS_1284 chromosome, complete genome
>NZ_LR883012.1 Escherichia coli isolate L4_E1441_ETEC chromosome 1, complete sequence
>NZ_CP127004.1 Escherichia coli strain YZ3-11 chromosome, complete genome
>NZ_CP085063.1 Escherichia coli strain P31_YH1_02.21 chromosome, complete genome
>NZ_CP058222.1 Escherichia coli strain CFT073 chromosome, complete genome
>NZ_CP124337.1 Escherichia coli strain AVS0971 chromosome, complete genome
>NZ_CP053852.1 Escherichia coli strain CE1628 chromosome, complete genome
>NZ_CP031609.1 Escherichia coli strain N3 chromosome, complete genome
>NZ_CP095137.1 Escherichia coli strain Iso00225 chromosome, complete genome
>NZ_CP124483.1 Escherichia coli strain AVS0575 chromosome, complete genome
>NZ_CP023960.1 Escherichia coli strain FDAARGOS_448 chromosome, complete genome
>NZ_CP116929.1 Escherichia coli strain MLI105 chromosome, complete genome
>NZ_CP092534.1 Escherichia coli strain DS566 chromosome, complete genome
>NZ_CP116071.1 Escherichia coli strain DETEC-S589 chromosome, complete genome
>NZ_CP099351.1 Escherichia marmotae strain RHB02-E4-C07 chromosome, complete genome
>NZ_CP038369.1 Escherichia coli O157:H7 strain F6321 chromosome, complete genome
>NZ_CP104442.1 Escherichia coli strain HBUT-L chromosome, complete genome
>NZ_LR778146.1 Escherichia coli isolate SC455 chromosome 1
>NZ_LT883142.1 Escherichia coli isolate 6666666.257727.embl chromosome IV
>NZ_CP028690.1 Escherichia coli strain 109 chromosome, complete genome
>NZ_CP077969.2 Escherichia coli strain JM83 chromosome, complete genome
>NZ_CP104123.1 Escherichia coli strain USDA-ARS-USMARC-49610 chromosome, complete genome
>NZ_CP073962.1 Escherichia coli strain MB31 chromosome, complete genome
>NZ_CP117971.1 Escherichia coli strain B-1109 chromosome, complete genome
>NZ_CP097884.1 Escherichia coli str. K-12 substr. MG1655 strain K-12 chromosome, complete genome
>NZ_AP025551.1 Escherichia coli strain LR-50 chromosome, complete genome
>NZ_CP060987.1 Escherichia coli strain EC31 chromosome, complete genome
>NZ_CP038791.1 Escherichia coli strain PF9285 chromosome, complete genome
>NZ_AP025214.2 Escherichia coli strain 2017.09.02CC chromosome, complete genome
>NZ_CP028626.1 Escherichia coli strain 137 chromosome, complete genome
>NZ_CP084896.1 Escherichia coli strain g62 chromosome, complete genome
>NZ_CP040313.1 Escherichia coli strain M7638 chromosome, complete genome
>NZ_OU701449.1 Escherichia coli isolate CNR85I8 chromosome 1, complete sequence
>NZ_CP115342.1 Escherichia coli strain CUVET21-1780 chromosome, complete genome
>NZ_CP043193.1 Escherichia coli O16:H48 strain PG20180063 chromosome, complete genome
>NZ_CP026351.1 Escherichia coli strain 5A chromosome, complete genome
>NZ_CP082120.1 Escherichia coli strain PC-NDM34 chromosome, complete genome
>NZ_CP027544.1 Escherichia coli strain 2013C-3264 chromosome, complete genome
>NZ_CP038383.1 Escherichia coli O55:H7 strain DEC5E chromosome, complete genome
>NZ_CP142441.1 Escherichia coli strain Case 5 chromosome, complete genome
>NZ_CP092702.1 Escherichia coli strain S-P-C-029.01 chromosome, complete genome
>NZ_CP073936.1 Escherichia coli strain MB56 chromosome, complete genome
>NZ_CP082091.1 Escherichia coli strain MS20645 chromosome, complete genome
>NZ_AP023197.1 Escherichia coli strain TUM18780 chromosome, complete genome
>NZ_CP106996.1 Escherichia coli strain SY22D8 chromosome, complete genome
>NZ_CP069549.1 Escherichia coli strain FDAARGOS_1253 chromosome, complete genome
>NZ_CP130667.1 Escherichia coli strain SM107 chromosome, complete genome
>NZ_CP035767.1 Escherichia coli O145 strain RM12522-C8 chromosome, complete genome
>NZ_CP074047.1 Escherichia coli strain PD7 chromosome, complete genome
>NZ_CP089445.1 Escherichia coli strain 5-1 chromosome, complete genome
>NZ_CP066836.1 Escherichia coli strain Ec-FL1-1X chromosome, complete genome
>NZ_AP026087.1 Escherichia coli strain 8_140198 chromosome, complete genome
>NZ_CP128888.1 Escherichia coli strain TUM14697 chromosome, complete genome
>NZ_CP122823.1 Escherichia coli strain ETEC1732 chromosome, complete genome
>NZ_CP038505.1 Escherichia coli strain 28Eco12 chromosome, complete genome
>NZ_HG994850.1 Escherichia coli isolate 127 chromosome main, complete sequence
>NZ_CP095514.1 Escherichia coli strain GN02323 chromosome, complete genome
>NZ_LR782232.1 Escherichia coli isolate SC467 chromosome 1
>NZ_CP051609.1 Escherichia coli O25b:H4-ST131 strain 2019_APHA chromosome, complete genome
>NZ_CP042878.1 Escherichia coli strain NMBU_W05E18 chromosome, complete genome
>NC_008253.1 Escherichia coli 536, complete sequence
>NZ_CP135688.1 Escherichia coli strain TUM2820 chromosome, complete genome
>NZ_OY754427.1 Escherichia coli isolate F200 chromosome 1, complete sequence
>NZ_CP126940.1 Escherichia coli O2:K1:H7 strain APEC E18055 chromosome, complete genome
>NC_017652.1 Escherichia coli str. 'clone D i14', complete sequence
>NZ_CP055048.1 Escherichia coli strain SWHEFF_58 chromosome, complete genome
>NZ_CP119402.1 Escherichia coli strain MRE162 substr. FRA chromosome, complete genome
>NZ_CP062824.1 Escherichia coli O167:H26 strain Res13-Lact-PER13-34 chromosome, complete genome
>NZ_CP043937.1 Escherichia coli strain RM14516 chromosome, complete genome
>NZ_LR881940.1 Escherichia coli isolate 2015-01-2097 chromosome 1, complete sequence
>NZ_AP022362.1 Escherichia coli strain E302 chromosome, complete genome
>NZ_AP026116.1 Escherichia coli strain CEC13002 chromosome, complete genome
>NZ_CP104206.1 Escherichia coli strain hubt-sl chromosome, complete genome
>NZ_CP069707.1 Escherichia coli strain E41 chromosome, complete genome
>NZ_CP117714.1 Escherichia coli strain PBS4 chromosome, complete genome
>NZ_CP103657.1 Escherichia coli strain 3150 chromosome, complete genome
>NZ_CP122832.1 Escherichia coli strain ETEC1730 chromosome, complete genome
>NZ_CP027307.1 Escherichia coli strain 2015C-3108 chromosome, complete genome
>NZ_CP091673.1 Escherichia coli strain KKo009 chromosome, complete genome
>NZ_CP034799.1 Escherichia coli strain 2009C-4687 chromosome, complete genome
>NZ_OY754392.1 Escherichia coli isolate F719 chromosome 1, complete sequence
>NZ_CP104371.1 Escherichia coli strain 2021CK-01784 chromosome, complete genome
>NZ_CP132594.1 Escherichia coli strain K-12 chromosome, complete genome
>NZ_AP027170.1 Escherichia coli strain 20.1 chromosome, complete genome
>NZ_CP101866.1 Escherichia coli strain LP5-1 chromosome, complete genome
>NZ_CP082094.1 Escherichia coli strain MS15236 chromosome, complete genome
>NZ_CP127316.1 Escherichia coli strain Ch1 chromosome, complete genome
>NZ_CP089034.1 Escherichia coli O157:H7 strain 6535NalR chromosome, complete genome
>NZ_OW967966.1 Escherichia coli isolate 648 chromosome main, complete sequence
>NZ_CP037945.1 Escherichia coli strain CFSAN027346 chromosome, complete genome
>NZ_CP097883.1 Escherichia coli str. K-12 substr. MG1655 strain K-12 chromosome, complete genome
>NZ_CP005930.1 Escherichia coli APEC IMT5155 chromosome, complete genome
>NZ_CP026348.1 Escherichia coli strain 6FA chromosome, complete genome
>NZ_CP077649.1 Escherichia coli strain ST865 chromosome, complete genome
>NZ_CP061754.1 Escherichia coli O18ac:H14 strain 873.10 chromosome, complete genome
>NZ_CP117469.1 Escherichia coli strain B-ZidR chromosome, complete genome
>NZ_CP075474.1 Escherichia coli strain NT1N28 chromosome, complete genome
>NZ_CP074007.1 Escherichia coli strain PD4 chromosome, complete genome
>NZ_CP008805.1 Escherichia coli O157:H7 str. SS17 chromosome, complete genome
>NZ_CP103974.1 Escherichia coli strain DLI.6n chromosome, complete genome
>NZ_CP062246.1 Escherichia coli strain AML003_par chromosome, complete genome
>NZ_CP038180.1 Escherichia coli strain 2 HS-C chromosome, complete genome
>NZ_CP025847.1 Escherichia coli strain 602354 chromosome, complete genome
>NZ_OY856299.1 Escherichia coli strain EC7072022BGR isolate EC7072022 chromosome 707, complete sequence
>NZ_CP079993.1 Escherichia coli strain EV36 chromosome, complete genome
>NZ_CP117717.1 Escherichia coli strain B1S11 chromosome, complete genome
>NZ_CP124442.1 Escherichia coli strain AVS0196 chromosome, complete genome
>NZ_AP025220.2 Escherichia coli strain 2017.11.01CC chromosome, complete genome
>NZ_CP059339.1 Escherichia coli strain MS8320 chromosome, complete genome
>NZ_CP019245.1 Escherichia coli strain Combat13F7 chromosome, complete genome
>NZ_CP009273.1 Escherichia coli BW25113 strain K-12 chromosome, complete genome
>NZ_CP048025.1 Escherichia coli strain GZEC065 chromosome, complete genome
>NZ_CP038336.1 Escherichia coli O157:H7 strain LSU61 chromosome, complete genome
>NZ_CP120549.1 Escherichia coli strain B1172 chromosome, complete genome
>NZ_CP021844.1 Escherichia coli strain EC1515 chromosome, complete genome
>NZ_CP104598.1 Escherichia coli strain AHM8C160RI chromosome, complete genome
>NZ_CP140008.1 Escherichia coli strain ATCC 11303 chromosome, complete genome
>NZ_AP026961.1 Escherichia coli strain EC20-72C-1 chromosome, complete genome
>NZ_CP124508.1 Escherichia coli strain AVS0068 chromosome, complete genome
>NZ_CP027347.1 Escherichia coli strain 2013C-4361 chromosome, complete genome
>NZ_CP050862.1 Escherichia coli strain 8-3-DC15 chromosome, complete genome
>NZ_CP028739.1 Escherichia coli strain A36 chromosome, complete genome
>NZ_CP043187.1 Escherichia coli O16:H48 strain PG20180170 chromosome, complete genome
>NZ_CP115330.1 Escherichia coli strain CUVET16-394 chromosome, complete genome
>NZ_CP082062.1 Escherichia coli strain MS20674 chromosome, complete genome
